Alpha  Beta  Evaporation  MaxDeviation  MedianDeviation  AvgDeviation
0.50  0.30  0.70  51.10  17.20  15.94
0.50  0.30  0.90  44.80  11.10  13.59
0.50  0.50  0.10  33.30  13.60  13.56
0.50  0.50  0.30  48.60  11.10  12.22
0.50  0.50  0.50  34.90  13.50  12.89
0.50  0.50  0.70  29.00  7.80  9.71
0.50  0.50  0.90  41.10  7.90  8.60
0.50  0.70  0.10  24.40  6.50  7.59
0.50  0.70  0.30  27.80  9.40  9.16
0.50  0.70  0.50  21.00  7.00  7.36
0.50  0.70  0.70  25.80  5.70  6.04
0.50  0.70  0.90  23.00  2.50  3.93
0.50  0.90  0.10  20.10  8.80  7.12
0.50  0.90  0.30  29.80  2.50  4.23
0.50  0.90  0.50  17.00  5.70  5.12
0.50  0.90  0.70  17.60  4.00  4.50
0.50  0.90  0.90  16.70  4.00  4.33
0.70  0.10  0.10  47.10  9.50  15.99
0.70  0.10  0.30  55.00  15.00  17.42
0.70  0.10  0.50  62.10  7.00  15.46
0.70  0.10  0.70  46.30  8.50  15.55
0.70  0.10  0.90  35.20  8.50  9.97
0.70  0.30  0.10  39.00  8.50  10.49
0.70  0.30  0.30  34.50  7.00  8.10
0.70  0.30  0.50  27.30  5.70  7.82
0.70  0.30  0.70  31.90  6.50  8.25
0.70  0.30  0.90  18.00  7.00  6.16
0.70  0.50  0.10  17.90  5.70  6.32
0.70  0.50  0.30  17.70  4.00  5.49
0.70  0.50  0.50  18.00  4.80  5.31
0.70  0.50  0.70  13.50  2.50  3.52
0.70  0.50  0.90  22.50  4.00  4.35
0.70  0.70  0.10  17.10  4.00  3.43
0.70  0.70  0.30  9.20  2.50  2.30
0.70  0.70  0.50  17.80  3.30  3.25
0.70  0.70  0.70  9.40  4.00  2.78
0.70  0.70  0.90  11.10  2.50  2.81
0.70  0.90  0.10  11.10  4.00  3.04
0.70  0.90  0.30  6.50  3.30  2.40
0.70  0.90  0.50  6.50  4.00  2.67
0.70  0.90  0.70  9.40  4.00  3.12
0.70  0.90  0.90  8.90  4.00  3.73
0.90  0.10  0.10  30.30  5.70  6.64
0.90  0.10  0.30  24.60  4.00  4.50
0.90  0.10  0.50  21.90  2.50  4.26
0.90  0.10  0.70  22.80  3.30  4.91
0.90  0.10  0.90  21.30  5.70  6.00
0.90  0.30  0.10  11.10  2.50  2.72
0.90  0.30  0.30  9.40  0.00  2.40
0.90  0.30  0.50  11.10  2.50  3.05
0.90  0.30  0.70  26.50  4.00  4.71
0.90  0.30  0.90  24.60  5.70  5.01
0.90  0.50  0.10  11.10  3.30  2.96
0.90  0.50  0.30  7.00  4.00  3.21
0.90  0.50  0.50  10.70  4.00  3.06
0.90  0.50  0.70  8.90  4.00  3.30
0.90  0.50  0.90  17.20  4.00  5.13
0.90  0.70  0.10  8.90  4.00  3.12
0.90  0.70  0.30  8.90  4.00  2.91
0.90  0.70  0.50  6.50  4.00  2.79
0.90  0.70  0.70  8.50  4.00  3.31
0.90  0.70  0.90  17.20  4.00  4.28
0.90  0.90  0.10  9.40  4.00  2.66
0.90  0.90  0.30  8.20  4.00  3.00
0.90  0.90  0.50  5.70  4.00  2.62
0.90  0.90  0.70  8.20  4.00  3.45
0.90  0.90  0.90  10.20  4.00  4.26

Best results
min MaxDeviation: 0.90  0.90  0.50  5.70  4.00  2.62

min MedianDeviation: 0.90  0.30  0.30  9.40  0.00  2.40

min AvgDeviation: 0.70  0.70  0.30  9.20  2.50  2.30


Runs Count: 10  Graphs Count: 3
